StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,UserLanguage,Consent,Rating_1,Q26_1,Q48_1,Q220_1,Q35_1,Q39_1,Q42_1,Q223_1,Q57_1,Q63_1,Q60_1,Q226_1,Q66_1,Q69_1,Q72_1,Q229_1,Q75_1,Q78_1,Q81_1,Q232_1,Q84_1,Q87_1,Q90_1,Q235_1,Q93_1,Q97_1,Q100_1,Q238_1,Q103_1,Q106_1,Q109_1,Q241_1,Q112_1,Q115_1,Q118_1,Q244_1,Q121_1,Q124_1,Q127_1,Q247_1,Q130_1,Q133_1,Q136_1,Q250_1,Q139_1,Q142_1,Q145_1,Q253_1,Q148_1,Q151_1,Q154_1,Q256_1,Q157_1,Q160_1,Q163_1,Q259_1,Q166_1,Q169_1,Q172_1,Q262_1,Q175_1,Q178_1,Q181_1,Q277_1,Q184_1,Q187_1,Q190_1,Q274_1,Q193_1,Q196_1,Q199_1,Q271_1,Q202_1,Q205_1,Q208_1,Q268_1,Q211_1,Q214_1,Q217_1,Q265_1,PROLIFIC_PID,STUDY_ID,SESSION_ID
08/12/2023 14:33,08/12/2023 14:37,100,224,TRUE,08/12/2023 14:37,R_3kOsb9Ml6KcRtXS,EN,I agree,,,,,Agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,,,Agree,Disagree,Somewhat agree,Somewhat agree,Agree,Somewhat disagree,Somewhat disagree,Agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,,,,,,,,,60e0675ef11003151efea149,65730de35c1e2d0d783d3320,65731b3c0cdd9cfd92dba4ab
08/12/2023 14:34,08/12/2023 14:37,100,197,TRUE,08/12/2023 14:37,R_3qkFw5TxPuu4Wxu,EN,I agree,Strongly agree,Somewhat agree,Somewhat disagree,Agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Disagree,Strongly disagree,Strongly disagree,,,,,,,,,,,,,,,,,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,,,,,,,,,Strongly agree,Agree,Somewhat disagree,Strongly agree,,,,,,,,,,,,,6145a3785b169c70bbf20fbb,65730de35c1e2d0d783d3320,65731b6d9a2d0eaff9dba4cc
08/12/2023 14:35,08/12/2023 14:38,100,189,TRUE,08/12/2023 14:38,R_3J4uYildOaWSkRQ,EN,I agree,,,,,,,,,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,,,,,,,,,,,,,Agree,Strongly disagree,Strongly agree,Agree,,,,,,,,,,,,,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,Agree,Strongly disagree,Strongly agree,Agree,,,,,,,,,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,,,,,5b807fb716aa4400016a6f8e,65730de35c1e2d0d783d3320,65731b7f94123ad97adad0f0
08/12/2023 14:34,08/12/2023 14:38,100,234,TRUE,08/12/2023 14:38,R_aWRxIZlau0QZldL,EN,I agree,,,,,,,,,,,,,,,,,Somewhat agree,Strongly disagree,Neither agree nor disagree,Agree,,,,,,,,,,,,,Strongly agree,Strongly disagree,Agree,Somewhat disagree,,,,,,,,,Disagree,Strongly disagree,Somewhat disagree,Somewhat agree,,,,,Somewhat agree,Disagree,Somewhat disagree,Disagree,,,,,,,,,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,,,,,,,,,,,,,60a0b744298c64d46b63e893,65730de35c1e2d0d783d3320,65731b4e74c687715a5b9fe4
08/12/2023 14:34,08/12/2023 14:38,100,242,TRUE,08/12/2023 14:38,R_2wGHx51SfaJtSkQ,EN,I agree,Agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Agree,Somewhat agree,Neither agree nor disagree,,,,,,,,,,,,,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat agree,,,,,,,,,Somewhat agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,,,,,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60d0a494fed3818eb7db0a55,65730de35c1e2d0d783d3320,65731b4b0e0bd25731a31904
08/12/2023 14:36,08/12/2023 14:38,100,131,TRUE,08/12/2023 14:38,R_1dnJ1KiQ9EKclDN,EN,I agree,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,,,,,,,,,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat disagree,,,,,,,,,Strongly agree,Disagree,Neither agree nor disagree,Strongly agree,,,,,,,,,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Agree,,,,,,,,,611aa19ce277183e60590810,65730de35c1e2d0d783d3320,65731bcdf469fa3f768d8a99
08/12/2023 14:36,08/12/2023 14:38,100,139,TRUE,08/12/2023 14:38,R_3RqK9Wf4tbI4c2o,EN,I agree,,,,,Agree,Agree,Agree,Agree,Somewhat agree,Somewhat disagree,Strongly agree,Agree,,,,,Agree,Agree,Agree,Strongly agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Strongly disagree,Agree,Agree,,,,,Agree,Disagree,Agree,Somewhat agree,,,,,,,,,5f3e95436fa4350dadcfbfeb,65730de35c1e2d0d783d3320,65731bbb68522c9c6b06a939
08/12/2023 14:36,08/12/2023 14:38,100,143,TRUE,08/12/2023 14:38,R_2dzK46nw8uQrmU6,EN,I agree,Strongly agree,Agree,Somewhat agree,Agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,,,,,Strongly agree,Somewhat agree,Somewhat agree,Agree,,,,,Agree,Agree,Strongly agree,Strongly agree,,,,,,,,,,,,,615ebee41627a65c85ccb4b6,65730de35c1e2d0d783d3320,65731b9b6af530c4f7d25420
08/12/2023 14:36,08/12/2023 14:38,100,158,TRUE,08/12/2023 14:38,R_2roa8R8vEKAxOV0,EN,I agree,,,,,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Agree,Agree,Agree,,,,,Agree,Somewhat disagree,Somewhat agree,Somewhat disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,,,,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Agree,,,,,,,,,5ebb233cf497010e8b6b2108,65730de35c1e2d0d783d3320,65731bc7739414bcf84f281d
08/12/2023 14:34,08/12/2023 14:38,100,260,TRUE,08/12/2023 14:39,R_2zOMlEUnBfH8zXu,EN,I agree,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Somewhat agree,Neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,,,,Somewhat disagree,Strongly disagree,Strongly disagree,Disagree,,,,,,,,,,,,,Somewhat agree,Disagree,Somewhat agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,5d302ba6900e6c00017f79d8,65730de35c1e2d0d783d3320,65731b6587a36c105b46ec8f
08/12/2023 14:36,08/12/2023 14:38,100,145,TRUE,08/12/2023 14:39,R_1IsWUlhwrIXpDjU,EN,I agree,,,,,,,,,,,,,,,,,Agree,Strongly disagree,Somewhat agree,Somewhat agree,,,,,,,,,,,,,,,,,Disagree,Somewhat agree,Somewhat disagree,Strongly agree,,,,,,,,,,,,,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,,,,,Neither agree nor disagree,Strongly disagree,Strongly agree,Somewhat disagree,,,,,,,,,,,,,Somewhat agree,Disagree,Disagree,Agree,5e551bdb4f51d6000b8eb12a,65730de35c1e2d0d783d3320,65731bdd1d9c09dc6c6712be
08/12/2023 14:35,08/12/2023 14:39,100,248,TRUE,08/12/2023 14:39,R_xtMzwHproq7tc6l,EN,I agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Disagree,Agree,Agree,,,,,,,,,Strongly agree,Disagree,Somewhat agree,Agree,,,,,Disagree,Disagree,Somewhat agree,Disagree,,,,,,,,,,,,,,,,,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat disagree,Agree,Strongly disagree,Strongly agree,Somewhat disagree,,,,,62c4371b086b25a79c7d4ef2,65730de35c1e2d0d783d3320,65731b8552774fe562fe6464
08/12/2023 14:36,08/12/2023 14:39,100,166,TRUE,08/12/2023 14:39,R_XLYtLK412lIUc81,EN,I agree,,,,,,,,,Somewhat disagree,Strongly disagree,Agree,Agree,Agree,Disagree,Agree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disagree,Disagree,Disagree,Disagree,Agree,Somewhat disagree,Somewhat agree,Agree,Agree,Disagree,Disagree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,654a47dda5b9c9120b1853be,65730de35c1e2d0d783d3320,65731bf0ce2fe0a3c78da5fb
08/12/2023 14:36,08/12/2023 14:39,100,205,TRUE,08/12/2023 14:39,R_2RQwopiYSM24pdF,EN,I agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Agree,Strongly disagree,Somewhat agree,Somewhat agree,,,,,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Disagree,Disagree,Somewhat agree,,,,,5e72bed5f23ae1224a3879de,65730de35c1e2d0d783d3320,65731bd29a2d0eaff9dba4df
08/12/2023 14:35,08/12/2023 14:40,100,262,TRUE,08/12/2023 14:40,R_2pRnqM7hGSf1Y8i,EN,I agree,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Disagree,Strongly agree,Somewhat agree,Somewhat agree,Disagree,Agree,Neither agree nor disagree,,,,,Agree,Disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Agree,,,,,,,,,,,,,,,,,Agree,Neither agree nor disagree,Somewhat disagree,Agree,,,,,,,,,,,,,,,,,,,,,5a43920e1950a80001e7be94,65730de35c1e2d0d783d3320,65731baccdfa6a5cafdf84c8
08/12/2023 14:36,08/12/2023 14:40,100,230,TRUE,08/12/2023 14:40,R_1QgVO9WTXofXiN8,EN,I agree,,,,,,,,,,,,,Agree,Strongly disagree,Agree,Agree,,,,,Agree,Strongly disagree,Somewhat agree,Agree,Agree,Strongly disagree,Somewhat disagree,Somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Strongly disagree,Disagree,Strongly agree,,,,,,,,,,,,,,,,,Somewhat agree,Disagree,Disagree,Agree,6479e056728f11290bfa42ef,65730de35c1e2d0d783d3320,65731bcb7d0803195bed6c42
08/12/2023 14:34,08/12/2023 14:40,100,337,TRUE,08/12/2023 14:40,R_3rYaQdn6GpYvclV,EN,I agree,,,,,,,,,Disagree,Strongly disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly agree,Agree,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Strongly disagree,Somewhat agree,Disagree,,,,,,,,,,,,,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,,,,,,,,,,,,,,,,,Strongly agree,Neither agree nor disagree,Strongly disagree,Somewhat agree,5ec9830efa4c534a9fea8395,65730de35c1e2d0d783d3320,65731b6774c687715a5b9fed
08/12/2023 14:36,08/12/2023 14:40,100,213,TRUE,08/12/2023 14:40,R_3KqGlB9Pftog2vG,EN,I agree,Strongly agree,Somewhat disagree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,,,,,,,,,,,,,,,,,Agree,Strongly disagree,Somewhat agree,Strongly disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agree,Somewhat disagree,Disagree,Strongly agree,,,,,Strongly agree,Strongly disagree,Agree,Strongly agree,,,,,6036906e5b4bac4295d49731,65730de35c1e2d0d783d3320,65731bed92d3f4d8fc0a7726
08/12/2023 14:37,08/12/2023 14:40,100,196,TRUE,08/12/2023 14:40,R_BFl2Y9f5bRXvzQ5,EN,I agree,,,,,,,,,,,,,,,,,Strongly agree,Strongly disagree,Agree,Somewhat agree,,,,,,,,,Neither agree nor disagree,Somewhat disagree,Agree,Strongly agree,,,,,,,,,,,,,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,,,,,Disagree,Strongly disagree,Somewhat agree,Strongly disagree,,,,,,,,,,,,,Somewhat agree,Neither agree nor disagree,Strongly disagree,Agree,612d17881348dd4299b7e2f9,65730de35c1e2d0d783d3320,65731bf694123ad97adad114
08/12/2023 14:37,08/12/2023 14:40,100,201,TRUE,08/12/2023 14:40,R_12JvUDZQZArWP94,EN,I agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat agree,Disagree,Somewhat agree,Somewhat agree,,,,,Disagree,Disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,,,,,,,,,Somewhat agree,Somewhat agree,Somewhat agree,Agree,Agree,Disagree,Somewhat agree,Somewhat agree,,,,,,,,,5d53c991ab3b8500015b7026,65730de35c1e2d0d783d3320,65731c0768522c9c6b06a94a
