Question,ID,url,headline,lead,stock,clip,type,hit@1,ai_clip
11,A79C22C1615937B0AE9F3416EAEE09A6,https://calgarysun.com/opinion/columnists/martin-judge-anti-masker-responsibility-fellow-citizens,Judge reminds anti-masker of responsibility to fellow citizens,"Not liking a law is not a reason to ignore it. If such were the case, anarchy would become the norm",https://unsplash.com/photos/assorted-title-of-books-piled-in-the-shelves-NIJuEQw0RKg,"['467639D59B68610BDCBA0A20FC42C235.jpg', 'A7D38A4F6F1D6816AF597AF3E880459C.jpg', '83D07015AA2B66BCB51493DEE9659E5F.jpg', '7163EBE14450D055E31E626302733CB7.jpg', 'AF4D6E56DD537207DD66AF55FC2CAA59.jpg']",edi,no,no
12,AB020235B42D63B252F8D9D808089AF2,https://news.yahoo.com/u-says-had-candid-exchange-191038239.html,"U.S. says had ""candid"" exchange with EU on meeting aluminum deal deadline","U.S. Trade Representative Katherine Tai had a ""direct and candid exchange"" with EU trade chief Valdis Dombrovskis on Thursday about the work required to meet an October deadline to deliver an aluminum and steel deal, according to her office.",https://unsplash.com/photos/apple-macbook-beside-computer-mouse-on-table-9l_326FISzk,"['7E7C37E310CEDBBF6D3EF7C61218AB5D.jpg', '24834A1117A13CD2F8DB422E0100A17E.jpg', '513277AF04BB169E0DE84A30BE280AAF.jpg', '515F98DF0C5598A0D4D03141B02A1EF0.jpg', '4EE1B49517045AE1E67AA13653839C52.jpg']",ai,no,no
13,B158246B8EA780C162855C36D73AF816,https://www.thescottishfarmer.co.uk/opinion/23668168.euro-notebook-prices-still-rising-farmers-paid-less/,Prices still rising while farmers paid less,"It is good news that inflation has finally dipped by more than forecast, although at 7.9% it remains damaging and far above the Bank of England's 2% target rate.",https://unsplash.com/photos/man-sitting-on-bench-reading-newspaper-_Zua2hyvTBk,"['00804D7F7C4A97EBA0258AFEAEF4D357.jpg', '0DE14055CA0C48F503BB255685F8A044.jpg', 'EB33322939609ACD26FB014DAB59A9A0.jpg', 'B47384279A4C146EA35208397D18DDE5.jpg', 'B628B57800B9A7BA18E98F12218934A8.jpg']",edi,no,no
14,C29717B756725E483E48F00A836A62D9,https://www.foodmanufacture.co.uk/Article/2023/07/20/CMA-supermarket-price-comparison-report,Supermarkets not responsible for food price inflation as profits fall,"Supermarkets are not the cause of food price inflation in the UK with profits down by more than 40%, a new Competition and Markets Authority (CMA) report has said.",https://unsplash.com/photos/shallow-focus-photography-of-almonds-in-white-ceramic-bowl-TTrJMhrkoeY,"['7AE87B8209DB9DBC5B867B1323D5B598.jpg', '80D07440C631F5557A9552CF9CBB0A8C.jpg', '113444F7160AC43C5AE1BD616CCA1C8B.jpg', '1C3CCEC5732D2FEAF9B800A85EB83F48.jpg', 'F7BB54467FE39E108C64511D1181E298.jpg']",edi,no,yes
15,DF121466636BFF3AAB44938295CF327B,https://www.news-medical.net/news/20230720/How-the-COVID-19-pandemic-altered-antibiotic-prescribing-for-common-bacterial-infections.aspx,How the COVID-19 pandemic altered antibiotic prescribing for common bacterial infections,"In a study posted to the medRxiv* preprint server, investigators evaluated the impact of the coronavirus disease 2019 (COVID-19) pandemic on the use of antibiotics in primary care for common infections. ",https://unsplash.com/photos/two-books-on-wood-plank-LNwn_A9RGHo,"['A8C96806B9829661F6108C3D0E8F4109.jpg', 'DF121466636BFF3AAB44938295CF327B.jpg', '1FF3CE2E5EF501D1CFC8D45D74AFD1DA.jpg', '809B2AD6F93F4CE68FC19E8F63C137CC.jpg', 'B275E912D120CB786B7091A4282F5EEE.jpg']",edi,no,no
16,E0947A4E9B3D084FC831144DD1F50B23,https://fansided.com/2023/07/20/mlb-rumors-cardinals-yankees-trade-flaherty-carlson/,MLB Rumors: Cardinals and Yankees connected for monster trade,"If the Yankees buy at the trade deadline, the St. Louis Cardinals could be a prime partner, especially with something like this proposed blockbuster.",https://unsplash.com/photos/woman-wearing-black-ripped-jeans-holding-camera-W1M4v3oF-q0,"['A917D224B8232848D6D77D79142D1BCB.jpg', '6DDDF211A6BEDAB2EC17D6830B343558.jpg', '8BC0C9AD3B54338AE4A8FD111EF9F1E4.jpg', 'B8E61802F0D521291FF29EF3A28E4D50.jpg', '69E62B7292289B89D8A6FD0827A84A33.jpg']",ai,no,yes
17,E38F3E9032E7EEFD494377658D189D89,https://www.ansa.it/english/news/general_news/2023/07/20/climate-2022-was-italys-hottest-driest-year-on-record_30e4f761-0e9e-4262-9cc1-c87de259270b.html,"Climate: 2022 was Italy's hottest, driest year on record",Average temperature 0.58� C higher than previous record-report,https://unsplash.com/photos/manarola-italy-rknrvCrfS1k,"['53543E1A97934A60BE95AA044905A901.jpg', '64B85E0D590F658C08D5849AB4261937.jpg', '4451213550825CF0923920BC783BA4D1.jpg', 'E38F3E9032E7EEFD494377658D189D89.jpg', 'ADF490682824729CEC195F9CC2D75AD4.jpg']",edi,no,no
18,ED5C5A50C6332639481F38ED02A75BCB,https://mvtelegraph.com/mit-researchers-say-theyre-no-safer-about-indoor-covid-at-6-ft-or-60-ft-in-a-brand-new-examine/,MIT Researchers Say They?re No Safer About Indoor Covid At 6 Ft Or 60 Ft In A Brand New Examine,"Customers dine at Picos Restaurant, which was threatened after the announcement of its continued need for masks as the state of Texas prepares to lift its mask mandate and shut down business during the coronavirus disease (COVID-19) pandemic in Houston, Texas to fully expand again. March 9, 2021.",https://unsplash.com/photos/smiling-man-standing-between-brown-concrete-buildings-at-daytime-UiVe5QvOhao,"['17A2F911B21C72B386F1996FD187655F.jpg', '9131B69CA5BE9B2F6746E53F8DDD22C5.jpg', '40C3AE4DED7CB2CDFC0CD5536FE09BF0.jpg', 'AD19DFC148EBCC901A4261F707EC0BDD.jpg', 'BA6ED379CC6F0181449392431D9FDC16.jpg']",edi,no,no
19,F08C20871EC76E2FA606E4D94E91F044,http://www.cnnphilippines.com/world/2023/7/20/russia-crimea-depot-blasts.html,Massive blasts at Russian depot in Crimea force thousands to flee,"A series of explosions roared through a Russian ammunition storage facility in occupied Crimea on Wednesday, forcing thousands of residents of nearby areas to flee and prompting leaders there to redirect traffic away from a local highway.",https://unsplash.com/photos/a-long-exposure-photo-of-a-highway-at-night-F69YCEUy07A,"['F08C20871EC76E2FA606E4D94E91F044.jpg', 'B1A256F69BCFF64FC02A4B55B8E1DAFB.jpg', '2C80229629590DDA864397F6126C80BC.jpg', '40A92263517870F55727F19B0ADF0FBE.jpg', '9845CE3AF322C3E97A5CECF3BB4B6E27.jpg']",edi,yes,no
20,FFD2A6288CBDB1F9981F2F55C9AA5498,https://www.gavi.org/vaccineswork/measles-how-declining-vaccination-levels-london-are-threatening-herd-immunity,Measles: how declining vaccination levels in London are threatening herd immunity,"Projections from the UKHSA suggest London could see a measles outbreak totalling 40,000 to 160,000 cases at current vaccination levels.",https://unsplash.com/photos/photo-of-car-and-bus-near-castle-g-krQzQo9mI,"['31548C395E4235F3710CBA7095E6972D.jpg', 'C503D3D7EF35512FC8019AF6AFF906B4.jpg', '8722AD401AFB49E566A27863445B3F7D.jpg', 'FFD2A6288CBDB1F9981F2F55C9AA5498.jpg', 'CEF4692C0C099451B7BB31E70D42F7D0.jpg']",edi,no,no
